words,x_coord,y_coord
C.D.s,-3.58241696904,15.1014594365
Electricity,6.15836842815,-28.9240074961
Paper,-6.97019489335,-30.4677542481
tales,-4.87071203555,15.5814244623
7,-12.5393309529,-3.98194626079
Ke,2.16131863234,-23.8137613021
almanac,35.9295096604,-3.19888525599
triage,30.0680825474,-5.63199739737
relevant,-16.3610398475,29.9810150292
Ralph,3.1707933179,-22.0691474186
rides,-6.51585254893,15.7204715252
forcefulness,35.5705839286,-2.87129067295
twenties,-7.58830175985,16.9498981142
reinforce,40.4803610495,-2.32003475663
210.3,-19.7173058945,-6.09156204971
jackhammers,-7.19030224268,16.3353687199
detoxification,31.5183174945,-4.92738017289
maps,-6.0036400068,11.6345402053
factory,28.664037203,-7.62567591091
everything,25.2588044029,-6.82280778905
friend,29.7347489012,-1.60382995753
date,32.2203655393,0.703219317493
2014,-16.5111155627,-7.31063615591
Global,6.41440302243,-34.0063041887
foreseeable,-16.4334054438,34.6004185529
7.03,-16.9547477985,-6.34853314978
antithetical,-12.3068354503,28.8701600643
particularly,27.1012775354,-27.2808283013
minimum-fee,-12.4773479321,31.8810547173
"3,524,000",-21.1909342237,-3.29672422293
AMONG,-33.4101875333,25.3612076442
bicycles,-8.2174760492,14.5834627744
woman,29.1385776073,-8.47144695647
Bells,18.7546363142,18.1839552742
decelerated,-24.0355211459,-20.0299798471
foreseen,-21.3323656149,-19.5502668138
ever-greater,-11.1090539039,29.1319529505
35.2,-20.6329995856,-5.32491878726
rigor,35.7868925112,-4.47415887704
eerie,-14.6487855882,27.7007444477
fetuses,-5.8640723844,9.49679055431
Recovering,14.2302325703,-0.290188894209
Mexico,3.17027462634,-19.9381352088
Thursday,4.51756394484,-21.1895075915
incapable,28.9838367124,-2.22977921212
vitro,-16.9537271838,-17.6243076142
timely,-15.190113368,35.1408388871
Nevada,-2.75317210513,-31.3183395214
solved,-21.0963960327,-20.0279772604
year-before,-14.6068231189,33.3260922903
unimportant,-12.7123194826,27.9864745428
ARA,-6.80119636755,-30.5004474473
Mist,-4.99896786577,-27.4602929999
Julius,0.561842734775,-29.4516940138
soup,27.4946307,-3.66595971396
all-time,-13.0523927041,24.6533012129
"600,000",-15.6173274641,-5.63815780609
claim,30.8877946858,0.921550588669
activities,-8.68665457472,8.6348608898
NCR,1.56649716325,-31.9273504933
exhibiting,14.500760883,-1.88652530583
fox,31.8498371734,-4.22009583056
Roebuck,0.20260609596,-34.7203151139
professionals,-8.5940212828,10.7168844897
Simpson,1.60224173812,-28.1825815752
outspoken,-13.8333922406,34.447185673
qualified,-20.8044012603,-20.8712739903
weapon,35.1445421119,-5.19310192382
postcards,-2.78652700815,16.0405302144
Malizia,0.86207259672,-31.5321446737
11-point,-12.2439309046,35.0722659417
sometime,30.1895803822,-27.2402918474
watchdog,30.8928226146,-3.24274529979
Don,2.16407552958,-21.0921893927
42.60,-20.8199345323,-4.39951468079
cycles,-4.07605886541,11.5231367723
CD-ROM,2.62393055713,-33.2722390846
Abramson,5.24944949578,-29.2978682736
autumn,26.1050774335,-5.39041066761
4.10,-21.5049102072,-4.79710220397
RID,39.0823948739,-2.94079777235
Early,-8.39263174205,29.7464453083
thrown,-19.87006488,-18.9020205475
for,-31.647180335,25.6637532774
mail,28.9843126791,-3.36201941355
Takanori,2.05293963841,-23.0387530892
bureaucracies,-5.64136490543,16.5584069588
restricted,-21.6326254918,-18.2218048268
1.95,-20.9366892531,-8.0448856357
Fares,-6.15948160034,15.437405522
Genocide,35.9268450607,-1.79653963325
Nixon,3.41390731762,-23.5210104752
Small-business,32.1943960657,-10.0156645937
Hoa,0.0794350524802,-27.6429569742
calls,4.54962471406,2.23603565671
42.7,-19.2351286024,-4.975579917
unnecessary,-15.191431894,34.9239240247
Soup,1.65456213951,-28.4721639252
Foley,-1.4555611385,-28.295816006
receives,3.3580266633,2.04590477135
repayment,31.0002812843,-5.83336533749
predicting,12.1019112413,-3.72092514955
white-spirit,36.8321530853,-5.54076989558
peaked,-16.0279456594,-20.6706149731
comrades,-3.7703780084,15.0178662796
charming,-13.3485614338,26.8590223356
402.7,-20.0223266218,-4.19892908541
slurs,-5.05868578384,11.3937990839
Now,27.151474523,-27.8600329844
Blondes,2.88636578219,-26.8616844107
earthquake-proof,-16.7099415191,31.6200877138
190.3,-20.7470902484,-4.9715655665
Thi,-7.46262783958,-24.0803727305
0.0015,-16.7556148679,-5.45144983434
Council,4.62605578688,-21.5961125194
McCloy,1.40055171593,-30.6821903279
ploy,36.6802370271,-6.0094348069
Line,3.78295051386,-25.9862051021
456.2,-20.2878537255,-6.96507766166
once-fashionable,-16.6518800944,30.3058028998
cherries,-6.23173420876,14.2567777547
paved,-13.0306112127,32.3049804243
1.5-mile,-13.2971764299,-6.23072841758
contracted,-16.6466526867,-20.9709234751
fooling,13.2517474128,-7.37639289426
names,-9.00236735562,9.95343627225
running,10.9824619787,-4.32493807988
wheels,-5.28713276788,15.5670180145
Third-quarter,-6.41705666197,31.1897352975
August,4.06532248609,-34.4069823043
improved,-19.8648557163,-17.4656332575
plunging,13.2658982027,-4.94067248385
questioned,-14.6313790704,-19.9562082515
Furman,5.50975256433,-32.3006731728
500-stock,-8.05203601456,26.9202320841
Say,39.2416314245,-0.430861476826
2.08,-21.1192593294,-6.25499706391
Power,-1.64931549061,-26.27360939
smuggling,12.7606481921,-4.50785098407
enter,41.7586394472,-3.50474325894
favorably,29.6072739688,-27.87399189
festivity,36.0286906451,-4.51137749036
Ala.,-2.671982687,-28.7642522168
culminated,-21.076752998,-20.6342096286
supplemental,-15.5520844371,29.9646753293
Sino-foreign,-14.6185221331,30.9028920976
Personnel,3.03999618235,-23.199202272
MC,2.42950056818,-23.3885290982
non-telephone,-10.2507756987,25.7557427976
draftsmen,-6.72377582092,10.9326292522
dump,23.4646235043,-3.00379103362
42,-13.5859284023,-3.7544997516
pitfalls,-11.2004767149,16.3250196121
97-nation,-13.2322358883,35.383485435
SHOPPERS,-6.0699436086,13.0770917175
racing,37.5560960321,-7.04481150073
Color,5.78669865734,-32.3221616077
McCullough,1.05331139695,-27.3446963264
net,-6.00627628192,23.8903788643
above,-32.7740916196,25.2598265715
including,12.9803663595,-2.32205477007
delay,37.8092069839,-0.744520155094
lawsuits,-7.9692287596,8.41749596057
rage,31.6323069614,-7.75022327523
hiring,12.1086761648,-5.45756314801
surprises,-5.42018333462,12.5939562559
diversified,-14.6118459136,29.9572976684
titles,-4.54899876742,15.3365523999
alleviating,13.8778410066,-5.86195330538
slashed,-15.5803484997,-21.9007222482
ACCEPTANCES,-3.26647223626,12.9740153393
doubling,15.4269044643,-7.09341150276
Amid,-33.8552514465,26.5900638442
Denver-based,0.349371840081,-23.1139880872
girder,34.9105346949,-5.17562372825
Having,12.8575039504,-0.694577414321
Erasing,13.9221829471,-0.468286026716
piecemeal,30.6280578005,-28.42316231
pooled,-21.436942898,-21.5418282524
fresh,-9.77719828447,25.2666691479
HOT,-8.57699842653,29.9972694384
566,-19.17750349,-6.59514851441
barreling,14.117717232,-6.72910005025
Industriels,17.1992837856,17.2940076752
put,40.0895745045,-1.56064503855
Security,-4.36966955773,-29.7643747559
Bros,-2.73608123649,-24.4365274806
growth,31.639244205,-1.50378776907
rough,-12.1878535361,25.8710441537
applause,29.4479673025,-4.26637594305
episodes,-9.206187507,13.060883372
deferring,14.8380925657,-3.09179256622
bursts,-11.5564528698,14.8458408323
Along,-33.3744401976,32.5262427671
zinc,30.5730062823,-6.78430197424
monitoring,33.8704442219,-1.39752965191
Durney,2.24059661272,-27.7173006718
disappear,40.9677416677,-3.0879174987
Dutch,-8.00386107392,26.6941819069
Anniversary,2.99250032905,-30.6625392979
unusable,-12.0771155908,28.255931092
candidate,31.8166195502,-3.24166174294
cracks,-10.7492719682,14.7904914439
railroad,24.6986904533,-6.30784709514
water-cooled,-12.4939385096,31.7841373464
government-plus,-10.3537514499,30.5082696619
decision,23.7933780196,-4.8898480127
weeklong,-15.7637403026,31.4626800582
Galles,1.67035582503,-31.9784347368
finishes,4.54558019799,-0.57864772653
economic-crime,-13.3911867997,33.9325077824
zeroing,16.0305053519,-4.57337919571
Poyner,1.46804231788,-31.2091481326
replacement,33.7279751834,-7.56336231149
188.7,-19.7734990928,-5.39561651542
mom,32.0744808791,-3.78369436323
Compared,-23.0880655712,-18.248197739
lecturer,32.981883397,-3.85995108022
8.50,-14.1596572221,-4.11339768115
underfunded,-19.9772567447,-19.3353671106
sporty,-17.6698127701,30.6084836558
Remaining,14.0622747576,-0.553468058302
Aluminium,1.25412474057,-29.5798460907
Mullins,2.0324991165,-26.7954663643
haunt,41.8958826492,-7.08798955921
USAir,0.447356665216,-20.8180361142
automobile,36.6356528902,-7.38919546115
regime,32.4511471424,-3.02915699216
10.09,-17.6249961623,-5.68158588462
Terms,-2.8725391266,11.7505741481
LaLonde,2.48648442207,-29.1471354077
Boettcher,-0.696333336615,-31.8716575465
petroleum,25.1314319145,0.19816270872
U.S.-Mexico,-11.3079758865,33.0447347822
Hills,5.1535458517,-29.2498669121
deprived,-19.3948297993,-21.2008977813
With,-32.3244452997,25.7418982102
Ex-Im,2.22827904898,-22.3278536409
agricultural,-12.5839540247,31.4304094231
flush,4.49323302028,-1.95139650067
LDC,6.45287637174,-31.0040707176
flew,-16.3756498999,-21.5414152614
Merola,2.37929637334,-31.4770627732
Ordinarily,30.9770550954,-28.6544769927
Insider,5.30057902995,-33.3964071836
sophistication,32.5265760332,-2.77900327178
studio,25.902421726,-3.44620972546
unraveled,-16.7747085536,-20.1935744716
7.50,-14.9109619922,-4.42960764487
southwest,30.3611175587,-27.0868522694
real-estate,26.1352073029,-7.73416282201
Six,-15.0928199246,-3.88449348088
100,-12.3966709123,-3.89886274953
finances,-9.1141681438,15.4406363231
1997,-15.0083363281,-5.37567138484
similar,-14.4755438352,25.9923431432
rumbles,3.07144271696,1.92459541681
2.375,-19.6840990995,-5.86640289459
methods,-6.02079273674,10.5386575383
troublesome,-12.8011074552,27.6083637082
charges,-4.60399370769,9.91247671203
2.6,-14.315219151,-1.79826332843
devised,-18.9688707359,-20.3211153012
Republican,2.11986366276,-20.3588119515
crooked,-10.7961194491,27.2807205777
financing,18.0045256583,-7.15248652291
505-455,-11.7411430493,29.349698863
101.98,-16.7960686766,-3.4353138979
freeway,25.370141577,0.112118700618
SURGED,-14.6752539225,-22.3961948576
nothing,27.1351050998,-1.52288137587
Lieberman,-1.78500117429,-27.6308306277
Torts,-1.58181204441,-31.9928059426
property-,35.5301788368,-5.14201770998
succeeding,13.0077657042,-4.33698704836
Schantz,3.02378756494,-29.2729432592
112.2,-20.7848942568,-5.63494720325
shouting,12.3648255076,-5.07412512201
Vietnamese,-11.1752808999,31.9319817651
ocean,33.191517215,-7.3010928132
handy,-15.8897198963,26.8909465399
breach,33.6106405516,-6.43255150708
"56,000",-14.516175601,-5.65920130222
lessons,-4.87429043863,15.532188723
Analyst,1.19518378762,-23.4429146034
Bookings,-3.0991928923,12.3482269171
asseet,36.9672933936,-7.90170488893
truck,30.6965460308,-7.75828543335
appealing,-12.9318304432,32.1706510731
stalls,-5.57147080143,13.6656398815
Bachtold,-1.17705494904,-29.3967086683
1962,-14.5432430502,-6.94862485712
Romania,-1.88822986711,-32.1552732081
assault,34.0933577557,-5.55092578084
Turnaround,-0.735674345455,-33.0077113693
shorter-term,-12.5942209458,33.4644888631
1890s,-13.2421997026,-6.41572308311
anti-Sandinista,-13.4041034677,34.6443532167
author,26.2699523098,-6.64019155748
Luerssen,-7.52537502362,-24.2498129147
Iran-Contra,3.53849905553,-31.2414091531
skeptics,-6.73833125537,9.71018010592
suspending,13.8659421827,-6.99664726347
move,26.9785762227,3.6601931827
psychological,-12.4424880645,32.0472896313
951,-18.0931881557,-4.29438673523
Notwithstanding,-33.553724235,25.5596552319
urge,38.3193184952,-1.18405747106
Danny,-0.899859408623,-32.9752106457
matter,34.6454046742,0.130763767513
socioeconomic,-15.1500517882,28.5426957958
chapters,-5.16438077822,15.4235060094
Must,-16.4957451083,9.98588083696
compromise,26.2210116804,-5.38374520062
trivia,-7.10188276852,15.1036544249
chose,-14.9265808705,-20.3067174858
U.S.-made,-15.9524945306,32.6926823585
prior-notice,-16.1747294332,33.3683663882
1949,-15.4700209152,-6.1131573692
money-losing,-13.5496016295,36.2106736841
1965,-17.2952014085,-5.74029146509
Median,-6.32941615505,31.1176924815
bribed,-17.8338582445,-21.6026776667
Vector,2.76863030688,-29.1296804356
momentum,27.9932626761,-0.771776861773
470,-16.9214900552,-4.86162595308
charter,33.2908960131,-4.79307185068
panacea,29.4581500205,-5.6983588396
pacemaker,32.3946911997,-6.25307592298
intends,2.57764285579,1.45943011214
Up,-32.9874945234,26.5221283074
155.3,-21.3585645315,-5.82389218004
Aeronautics,4.20655172615,-29.2214868561
crowd,31.8973375059,-2.80379245887
Additionally,29.134455961,-30.14610357
worker-compensation,31.9307866438,-5.05775369252
Bankers,-1.82881212279,-34.727772352
Barbie,5.42047458366,-30.3567566289
workforce,35.0183381808,-6.03216792237
Mirage,5.69740188703,-31.8958042618
not,27.3694750828,-25.8591568533
reveal,40.0176895452,-1.90727087406
160,-13.0640630437,-5.19253350949
franchisers,-7.60403902799,11.5151979976
SHIBUMI,1.82973270299,-23.0125618868
first-quarter,-14.3830555499,29.1783237051
229,-19.6401952839,-6.85596409098
consultant,32.8166637881,-8.64328910659
president,29.6407758757,2.20844807087
eternal,-16.0266289994,32.5238269704
undecided,-12.8070915746,29.9590636081
overcrowded,-11.0661517512,26.9531461385
number,28.3048721035,0.0734218847814
symmetrical,-16.1196977103,28.7022019971
845.7,-21.7784484236,-5.88434155379
Places,-3.99281202291,14.4830678081
flood,35.3014928993,-8.06159622372
21.6,-20.5471793688,-6.59693037433
Genentech,0.527214730119,-31.2483058734
Pascual,-0.689684395405,-31.6105637366
drug-policy,34.4441591431,-9.52481065989
livelihood,34.3340193628,-6.92199273275
wears,2.15353759222,1.15631238332
Public,5.23831082211,-27.2356048348
conserve,38.8883269221,-4.3444464176
reeling,14.8003433384,-4.84223752634
"1,400",-14.3573075755,-4.422414478
Kleinwort,4.76100587121,-33.8444579361
7.0,-16.443815129,-3.34931756282
equally,28.8630653837,-27.8423251527
building-society,-13.5494601072,30.4128485223
storm,26.0262070955,-3.62693106448
four-door,-15.8996448612,35.5154007873
rocketed,-17.3183529994,-22.4547466357
16.4,-19.4435971967,-4.96897780166
XR4Ti,-6.24089492584,-23.965371552
beginnings,-4.82562445548,14.2630525025
bidder,35.0760012007,-7.97866495144
tracked,-21.6818903253,-17.1852145929
econometric,-14.8018740968,33.0707005935
European,-9.60440623606,31.5347836809
Miss.,-0.645608709148,-30.2683557144
illicit,-13.5564516099,30.1796890041
non-profit,-14.5700509542,36.8498014419
cancer,27.6438241862,-6.85254460431
dumber,-15.4371304642,-13.4965056578
meant,-15.9945704115,-20.944569949
fix,38.5287152884,-4.16998318062
finest,-18.4078987851,-11.0727223476
downhill,31.2442954211,-27.7230628419
Bronson,-2.39548263669,-33.0493498065
622,-22.3079080532,-4.72093193163
outsold,-16.5278566233,-20.7765514132
tenths,-7.06366954105,13.400076139
dealerships,-6.36052484548,13.1391156011
gamble,36.6331977113,-1.86924735884
618.9,-20.2293530868,-4.62781153413
experimental,-16.1370872678,31.0888378285
Saalfeld,-4.91778662602,-27.4813443483
Kary,1.98078263654,-23.8375322742
umbrella,36.1633516041,-6.18444952993
distinctively,29.6229336228,-26.543917842
Moreover,28.6807229183,-29.7579176923
Virginia,2.78763476929,-20.5331866988
arrangements,-7.38314119468,10.8716304425
explaining,12.0108040955,-5.71267419521
flesh,32.966121093,-3.94102129784
securely,30.2453505588,-27.8364289146
4.2,-14.5638510661,-2.06487827299
shelf,36.0198646201,-3.77756338661
longer-run,-13.5982124321,32.8261442465
Promotion,-3.99677775957,-31.6382084071
dullest,-18.7055601778,-11.0190097053
Center,1.01563905559,-35.0810073183
disposes,4.98095360218,1.17262631222
needs,2.44793508159,3.00841326351
sticker,35.9743494036,-4.14026001565
wrap,36.0924993946,-4.73810097037
six-mile,-14.1942211811,34.341849937
high-tech,-10.2253454052,33.8029639482
condition,35.5663171987,-8.70993145624
Expansion,31.1052372846,-12.052937613
infamous,-8.13593250999,32.6389044332
ugly,-12.3557156424,27.2576347012
drops,2.57163592345,0.775483954121
coverage,26.8679480894,1.35621816309
hovering,11.6881027215,-4.18433109395
earthquake-related,-9.85021459649,28.322678721
distancing,14.771791304,-6.07810687
10.13,-18.6441458782,-2.36261151439
1937,-15.2292304236,-8.4980493433
Noel,-3.50640977173,-33.4027514258
skyrocketing,13.8479407867,-6.27992523278
BellSouth,1.93148201215,-21.1070644428
hints,-8.74299941752,17.3610213558
incompetent,-17.1502149127,33.7566010948
sturdy,-13.9037394859,30.7995965716
companies,-9.8514956543,10.5207351142
retreating,14.4187533019,-3.76129198389
labor,25.4212065612,-2.57793195262
domination,36.8584650252,-3.58990949705
building-products,-5.64357467119,14.2950439623
muster,38.140616906,-3.34988211405
households,-7.28561218019,13.3253559777
ballroom,29.6326087609,-1.13542646051
passions,-5.81169660374,17.364987676
excitement,30.4993612331,0.019274730705
color,31.3438359174,-3.61397679703
weights,0.192983322252,-0.643225969187
bandwagon,36.8399192235,-5.15023763108
push,33.359957204,2.03784193907
Obviously,30.2816855876,-28.7853387858
355,-18.4377305844,-7.92110622908
lock,41.0170893952,-2.12863073589
Indian,2.58515901494,-23.7347138789
well-known,-16.3591809139,26.5289536122
FOX,31.9008891921,-9.31034017143
Shampoo,-2.56882613022,-32.8575193717
symmetry,35.5052342397,-1.52772697168
mid-afternoon,-5.08752137876,22.6491952734
Iwai,1.7415220219,-29.7792292895
Unless,-33.398185502,26.0844996528
357,-20.1548576231,-5.64723701798
racial-minority,-11.2948694922,30.1166219118
measuring,12.6629864559,-6.55097285254
cost-reduction,-17.3649544718,29.0577255975
Veterans,1.83564533787,-29.0087045227
passenger,31.6650252463,-6.11086585321
Eagleton,2.37865131012,-31.2694554266
CD,3.45552251466,-28.3821051907
support,32.4418754177,-0.730189200605
regulators,-11.9081537444,13.7929072484
Enterprises,18.6281995127,17.4652638249
bench,32.7295429721,-3.0943022763
perjury,28.7344744553,-4.3173366628
nursing-home,29.7867429962,-2.14492301506
Bean,0.113888365559,-25.9242423875
fares,-8.36832936507,11.4439778857
saying,13.2493394696,-4.0208517301
Gloucester,-0.0982457177361,-33.0447261056
excellent,-14.5542061037,36.4454362687
narrow,-17.8598677726,32.7171203551
Fallout,0.184116164671,-28.2530208564
admittedly,29.3262570585,-27.2099397382
employment,29.8186850285,-6.53541982425
white-collar,-12.8940631274,30.519981325
sharply,28.1367345173,-27.0100235536
Will,-16.3801486209,9.82424580618
statehood,36.2280002709,-5.00866350941
populous,-7.6934689095,32.2067809965
!,-7.07979766435,29.3877221103
custom-tailored,-12.4345004195,33.5793392212
appraisal,16.1447372347,-7.45978723659
partnerships,-13.0350574656,13.3242301801
1.10,-22.1893315343,-7.08989580069
Coleco,-7.25610474218,-30.5563227747
10.98,-18.661830735,0.258261314622
NV,1.13868714093,-33.6297410094
swept,-23.0624833816,-19.5585491076
86.50,-19.700063072,-7.46134269553
upgraded,-20.8201776933,-18.0068257135
De,5.73370826161,-28.314090004
Sark,0.689864947671,-26.786110348
bulbs,-5.95643825942,13.4925495776
Athletics,4.75460589285,-32.7614877347
flimsy,-11.153701851,35.6547995435
registration,28.36178908,-5.3519517948
15.25,-16.0592649329,-5.74689913389
angora,38.0931959527,-6.28877302943
overhanging,14.9633104414,-5.63405016188
retools,4.69019257949,-0.264048740703
Corporations,-3.3962028295,11.5924334468
DISCOUNT,31.9697626854,-14.7783693082
PUTS,18.4676722592,17.7893680701
live,40.9566133516,-0.802160053529
Lubar,-1.99342481367,-31.9235841114
sentimentality,32.5005488046,-1.8733741241
Banks,2.27394396353,-23.9218726145
selecting,14.7634531982,-4.24214201424
wooing,14.8036833561,-6.212343484
luxury,33.9633781881,-9.33515178718
checkpoints,-6.49536490952,13.7251084413
Hermann,-2.93664105098,-24.3698433902
